Sim#,NodeCount,TotalIteration,CompileTime,KeyGenerationTime,EncryptionTime,ExecutionTime,DecryptionTime,ReferenceExecutionTime
0,6,36,366.6899230229319,1269.435707006778,228.3112469885964,3675.0626799766906,1760.931161014014,44.31398000451736
1,6,36,346.2478299989016,1264.8194049979793,227.828855982807,3567.2398670212715,1674.9793170092744,45.48642600275343
2,6,36,322.5006020074943,1233.4132900068653,219.9256109961425,3573.777137993602,1697.2634070116328,42.309641001338605
3,6,36,334.6824189866311,1247.902412971598,211.87167097377824,3522.7061040131957,1699.9591019703075,43.63646700949175
4,6,18,66.65441599761834,503.1855039924267,102.15234799397876,872.8945320035564,433.1677369918907,11.267991001659539
5,6,36,367.1008529854589,1239.2740559807862,219.71213197684847,3605.2582699994673,1775.759096017282,46.556644985685125
0,10,100,5466.680053992604,5190.2941079606535,584.7854109888431,26850.257595957373,12619.7381000311,478.1109120158362
1,10,100,5538.476869027363,5183.1143429881195,580.9173570014536,26554.50829894835,12525.28864100168,462.393086978409
2,10,100,5683.042868979101,5294.092558033299,593.284499947913,27354.61320698232,12831.580328056589,521.5555750255589
3,10,50,847.5792819881462,2334.757635013375,297.8966020018561,6790.185506004491,3296.863112009305,88.99752997240284
4,10,100,5661.005943955388,5453.551229045843,597.5141130329575,27080.422689949046,12946.871203021146,486.5085050041671
5,10,100,5592.484239015903,5302.116838996881,589.7437279782025,26895.693582991953,12763.65869003348,519.4934739847668
0,14,196,38731.74818393454,14170.97864997777,1167.5022039926262,104991.26232002163,49056.07204398984,2873.1890360286343
1,14,196,38491.39815700619,14340.775379030674,1201.478148024762,105851.93305603025,48995.10209503205,2907.649475011567
2,14,196,37828.81454304152,13943.084355967585,1162.9716249881312,103729.21126805886,48548.60400195321,2945.388867978181
3,14,196,38257.47696193139,13998.90795803367,1166.4783919623005,103584.67446304712,48552.216766976926,2904.309535995708
4,14,196,37759.568258981744,13597.013876002165,1166.481428030238,103498.96839397843,47860.37399095949,2814.818725033547
5,14,196,37086.23588790215,13743.1875889597,1164.3183159976616,101609.70065496804,47265.126400969166,2826.879324966285
